题目	选项1	选项2	选项3	选项4	答案	科目类型			
计算机之所以能按人们的意志自动进行工作，最直接的原因是因为采用了	二进制数制	高速电子元件	存储程序控制	程序设计语言	B	0 计算机基础及WPS Office			
已知某汉字的区位码是3222，则其国标码是?	4252D???	5242H  	4036H???	5524H  	B	0 计算机基础及WPS Office			
二进制数l01001转换成十进制整数等于	41??	43??	45???	39??	A	0 计算机基础及WPS Office			
计算机软件系统包括?	程序、数据和相应的文档?	系统软件和应用软件?	数据库管理系统和数据库	编译系统和办公软件	A	0 计算机基础及WPS Office			
若已知一汉字的国标码是5E38H，则其内码是?	DEB8??	DE38	5EB8???	7E58	A	0 计算机基础及WPS Office			
汇编语言是一种?	依赖于计算机的低级程序设计语言??	计算机能直接执行的程序设计语言	独立于计算机的高级程序设计语言	面向问题的程序设计语言	A	0 计算机基础及WPS Office			
用于汉字信息处理系统之间或者与通信系统之间进行信息交换的汉字代码是??	国标码??	存储码?	机外码?	字形码	A	0 计算机基础及WPS Office			
构成CPU的主要部件是??	内存和控制器??	内存、控制器和运算器??	高速缓存和运算器	控制器和运算器??	A	0 计算机基础及WPS Office			
用高级程序设计语言编写的程序，要转换成等价的可执行程序，必须经过?	汇编?	编辑??	解释??	编译和连接?	A	0 计算机基础及WPS Office			
下列各组软件中，全部属于应用软件的是?	程序语言处理程序、操作系统、数据库管理系统	文字处理程序、编辑程序、UNIX操作系统?	财务处理软件、金融软件、WPS?Office?2003??	Word?2000、Photoshop、Windows?98	A	0 计算机基础及WPS Office			
?微型计算机主机的主要组成部分是	运算器和控制器	CPU 和内存储器	?CPU 和硬盘存储器	CPU、内存储器和硬盘	D	0 计算机基础及WPS Office			
一个完整的计算机系统应该包括	主机、键盘和显示器	硬件系统和软件系统?	?主机和它的外部设备	?系统软件和应用软件	C	0 计算机基础及WPS Office			
计算机的软件系统包括	系统软件和应用软件	数据库管理系统和数据库	?编译系统和应用软件	程序、相应的数据和文档	C	0 计算机基础及WPS Office			
微型计算机中，控制器的基本功能是?	?进行算术和逻辑运算?	保持各种控制状态?	存储各种控制信息?	控制计算机个部件协调一致地工作	C	0 计算机基础及WPS Office			
计算机操作系统的作用是	管理计算机系统的全部软、硬件资源，合理组织计算机的工作流程，以达到充分发挥计算机资源的 效率，为用户提供使用计算机的友好界面	对用户存储的文件进行管理，方便用户?	?执行用户键入的各类命令?	为汉字操作系统提供运行的基础	C	0 计算机基础及WPS Office			
计算机的硬件主要包括：中央处理器(CPU)、存储器、输出设备和	键盘	鼠标	输入设备	显示器?	C	0 计算机基础及WPS Office			
下列各组设备中，完全属于外部设备的一组是	内存储器、磁盘和打印机	CPU、软盘驱动器和 RAM?	CPU、显示器和键盘	硬盘、软盘驱动器、键盘	C	0 计算机基础及WPS Office			
五笔字型码输入法属于	音码输入法	?形码输入法	音形结合的输入法	联想输入法	C	0 计算机基础及WPS Office			
一个 GB2312 编码字符集中的汉字的机内码长度是?	32 位	24 位	16 位	8 位?	C	0 计算机基础及WPS Office			
									
									
									
									
									
									
									
									
									
									
									
									
