题目	答案	类型	科目类型			
计算机之所以能按人们的意志自动进行工作，最直接的原因是因为采用了	二进制数制	0 填空题	0 计算机基础及WPS Office			
已知某汉字的区位码是3222，则其国标码是?	4252D???	0 填空题	0 计算机基础及WPS Office			
二进制数l01001转换成十进制整数等于	41??	0 填空题	0 计算机基础及WPS Office			
计算机软件系统包括?	程序、数据和相应的文档?	0 填空题	0 计算机基础及WPS Office			
若已知一汉字的国标码是5E38H，则其内码是?	DEB8??	0 填空题	0 计算机基础及WPS Office			
汇编语言是一种?	依赖于计算机的低级程序设计语言??	0 填空题	0 计算机基础及WPS Office			
用于汉字信息处理系统之间或者与通信系统之间进行信息交换的汉字代码是??	国标码??	0 填空题	0 计算机基础及WPS Office			
构成CPU的主要部件是??	内存和控制器??	0 填空题	0 计算机基础及WPS Office			
用高级程序设计语言编写的程序，要转换成等价的可执行程序，必须经过?	汇编?	0 填空题	0 计算机基础及WPS Office			
下列各组软件中，全部属于应用软件的是?	程序语言处理程序、操作系统、数据库管理系统	0 填空题	0 计算机基础及WPS Office			
?微型计算机主机的主要组成部分是	运算器和控制器	0 填空题	0 计算机基础及WPS Office			
一个完整的计算机系统应该包括	主机、键盘和显示器	0 填空题	0 计算机基础及WPS Office			
计算机的软件系统包括	系统软件和应用软件	0 填空题	0 计算机基础及WPS Office			
微型计算机中，控制器的基本功能是?	?进行算术和逻辑运算?	1 大题	0 计算机基础及WPS Office			
计算机操作系统的作用是	管理计算机系统的全部软、硬件资源，合理组织计算机的工作流程，以达到充分发挥计算机资源的 效率，为用户提供使用计算机的友好界面	1 大题	0 计算机基础及WPS Office			
计算机的硬件主要包括：中央处理器(CPU)、存储器、输出设备和	键盘	1 大题	0 计算机基础及WPS Office			
下列各组设备中，完全属于外部设备的一组是	内存储器、磁盘和打印机	1 大题	0 计算机基础及WPS Office			
五笔字型码输入法属于	音码输入法	1 大题	0 计算机基础及WPS Office			
一个 GB2312 编码字符集中的汉字的机内码长度是?	32 位	1 大题	0 计算机基础及WPS Office
